MP1;MP2;ECH;ANNE;M1;M2;M3;M3A;M3D;M5;M6A;M7A1;M13A;M14A;M7A;M8A;M9A;M6B;M7B1;M13B;M14B;M7B;M8B;M9B;M6C;M7C1;M13C;M14C;M7C;M8C;M9C;M6D;M7D1;M13D;M14D;M7D;M8D;M9D;M14;M15A;M16A;M20A;M17A;M18A;M19A;M15B;M16B;M20B;M17B;M18B;M19B;M15C;M16C;M20C;M17C;M18C;M19C;M15D;M16D;M20D;M17D;M18D;M19D;M20;M21;M22;COEM;ML2A;ML2B;ML2C;M22B;M22C;ML24;MP3;MFIN
1;1010;0011;20151203;4;1;1;4;1;1;1;3;2013;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;36.55035;2014;3;59512;;;4;3;0
1;1010;0087;20160122;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;1;41.84241;2011;1;69123;00;00;3;4;0
1;1010;0114;20160322;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2015;1;75056;;;3;1;0
1;1010;0005;20160119;4;1;1;3;1;1;1;1;2010;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2014;2;59350;;;4;1;0
1;1010;0070;20151215;4;2;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2002;;;;;3;1;0
1;1010;0073;20160309;4;3;2;;1;1;1;1;2002;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;37028;;;4;2;0
1;1010;0010;20160116;4;1;1;4;1;2;1;1;1996;07;1;1;2;1;3;2002;11;1;2;2;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2013;1;59350;;;2;5;0
1;1010;0562;20160205;4;3;2;;1;1;1;1;2002;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;41.84241;2012;3;91272;;;4;4;0
1;1018;0004;20160121;4;5;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;2;66.79166;2012;1;02691;;;3;3;0
1;1018;0009;20151204;4;5;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;66.79166;2015;1;88888;;;3;4;0
1;1018;0018;20160121;4;5;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;2;66.79166;2015;1;02691;;;3;3;0
1;1018;0033;20151202;4;5;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;66.79166;2015;1;06004;;;3;2;0
1;1018;0037;20151203;4;5;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;66.79166;2015;1;71520;;;3;3;0
1;1018;0043;20151209;4;1;1;1;1;1;1;3;2014;10;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;1;53.82657;2013;1;59360;00;00;3;2;0
1;1018;0044;20160105;4;3;2;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2014;1;42218;;;3;1;0
1;1018;0047;20160116;4;3;2;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;41.84241;2015;1;59606;;;3;5;0
1;1018;0049;20160205;4;3;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2008;1;59350;;;3;4;0
